"","LSOA11CD","OA11CD","LSOA11NM","nonUK","nonUKZoneProp.oa","Country of Birth: All categories: Country of birth","nonUK.lsoa","Country of Birth: All categories: Country of birth.lsoa","nonUKZoneProp.lsoa"
"253","E01007705","E00039007","Rotherham 025E",11,3.72881355932203,295,47,1522,3.0880420499343
"254","E01007706","E00039003","Rotherham 027E",10,3.05810397553517,327,63,1458,4.32098765432099
"255","E01007706","E00039000","Rotherham 027E",20,5.68181818181818,352,63,1458,4.32098765432099
"256","E01007706","E00038999","Rotherham 027E",15,3.4324942791762,437,63,1458,4.32098765432099
"257","E01007706","E00039024","Rotherham 027E",18,5.26315789473684,342,63,1458,4.32098765432099
"258","E01007707","E00039001","Rotherham 025F",12,3.44827586206897,348,40,1527,2.61951538965291
"259","E01007707","E00039022","Rotherham 025F",13,4.51388888888889,288,40,1527,2.61951538965291
"260","E01007707","E00039002","Rotherham 025F",5,1.56739811912226,319,40,1527,2.61951538965291
"261","E01007707","E00039023","Rotherham 025F",2,0.738007380073801,271,40,1527,2.61951538965291
"262","E01007707","E00039025","Rotherham 025F",8,2.6578073089701,301,40,1527,2.61951538965291
"263","E01007708","E00039044","Rotherham 021A",25,6.75675675675676,370,87,1672,5.20334928229665
"264","E01007708","E00039042","Rotherham 021A",3,1.58730158730159,189,87,1672,5.20334928229665
"265","E01007708","E00039054","Rotherham 021A",14,4.63576158940397,302,87,1672,5.20334928229665
"266","E01007708","E00039059","Rotherham 021A",6,4.65116279069767,129,87,1672,5.20334928229665
"267","E01007708","E00039043","Rotherham 021A",20,5.64971751412429,354,87,1672,5.20334928229665
"268","E01007708","E00039041","Rotherham 021A",19,5.79268292682927,328,87,1672,5.20334928229665
"269","E01007709","E00039052","Rotherham 021B",4,1.32013201320132,303,43,1456,2.9532967032967
"270","E01007709","E00039050","Rotherham 021B",9,3.18021201413428,283,43,1456,2.9532967032967
"271","E01007709","E00039048","Rotherham 021B",10,3.7593984962406,266,43,1456,2.9532967032967
"272","E01007709","E00039056","Rotherham 021B",19,5.9375,320,43,1456,2.9532967032967
"273","E01007709","E00039051","Rotherham 021B",1,0.352112676056338,284,43,1456,2.9532967032967
"274","E01007710","E00039070","Rotherham 021C",5,1.54798761609907,323,46,1564,2.94117647058824
"275","E01007710","E00039045","Rotherham 021C",6,2.08333333333333,288,46,1564,2.94117647058824
"276","E01007710","E00039047","Rotherham 021C",5,1.58730158730159,315,46,1564,2.94117647058824
"277","E01007710","E00039046","Rotherham 021C",12,4.3010752688172,279,46,1564,2.94117647058824
"278","E01007710","E00039049","Rotherham 021C",18,5.01392757660167,359,46,1564,2.94117647058824
"279","E01007711","E00039057","Rotherham 021D",13,4.31893687707641,301,111,1799,6.17009449694275
"280","E01007711","E00039058","Rotherham 021D",18,5.42168674698795,332,111,1799,6.17009449694275
"281","E01007711","E00039060","Rotherham 021D",22,6.12813370473538,359,111,1799,6.17009449694275
"282","E01007711","E00039053","Rotherham 021D",11,3.25443786982249,338,111,1799,6.17009449694275
"283","E01007711","E00039062","Rotherham 021D",47,10.0213219616205,469,111,1799,6.17009449694275
"284","E01007712","E00039055","Rotherham 023E",47,12.1447028423773,387,229,1965,11.6539440203562
"285","E01007712","E00039063","Rotherham 023E",18,5.86319218241042,307,229,1965,11.6539440203562
"286","E01007712","E00039040","Rotherham 023E",51,12.5925925925926,405,229,1965,11.6539440203562
"287","E01007712","E00039061","Rotherham 023E",63,14.3835616438356,438,229,1965,11.6539440203562
"288","E01007712","E00039065","Rotherham 023E",50,11.6822429906542,428,229,1965,11.6539440203562
